swish-python-master,client.py,ignore_except_block,11
personfinder-master,test_pfif.py,assert_used,929
personfinder-master,stubout.py,ignore_except_block,80
personfinder-master,test_indexing.py,assert_used,150
personfinder-master,test_indexing.py,assert_used,153
personfinder-master,test_indexing.py,assert_used,156
personfinder-master,test_indexing.py,assert_used,159
personfinder-master,test_script_variant.py,assert_used,25
personfinder-master,test_script_variant.py,assert_used,27
personfinder-master,test_script_variant.py,assert_used,31
personfinder-master,test_script_variant.py,assert_used,32
personfinder-master,test_script_variant.py,assert_used,33
personfinder-master,test_script_variant.py,assert_used,37
personfinder-master,test_script_variant.py,assert_used,38
personfinder-master,test_script_variant.py,assert_used,39
personfinder-master,test_script_variant.py,assert_used,41
personfinder-master,test_script_variant.py,assert_used,44
personfinder-master,test_script_variant.py,assert_used,47
personfinder-master,test_script_variant.py,assert_used,48
personfinder-master,test_script_variant.py,assert_used,49
personfinder-master,test_script_variant.py,assert_used,51
personfinder-master,test_script_variant.py,assert_used,56
personfinder-master,test_script_variant.py,assert_used,57
personfinder-master,test_script_variant.py,assert_used,59
personfinder-master,test_resources.py,assert_used,39
personfinder-master,test_resources.py,assert_used,50
personfinder-master,test_resources.py,assert_used,57
personfinder-master,test_resources.py,assert_used,139
personfinder-master,test_resources.py,assert_used,145
personfinder-master,test_resources.py,assert_used,149
personfinder-master,test_resources.py,assert_used,151
personfinder-master,test_resources.py,assert_used,158
personfinder-master,test_resources.py,assert_used,159
personfinder-master,test_resources.py,assert_used,161
personfinder-master,test_resources.py,assert_used,162
personfinder-master,test_resources.py,assert_used,164
personfinder-master,test_resources.py,assert_used,165
personfinder-master,test_resources.py,assert_used,172
personfinder-master,test_resources.py,assert_used,173
personfinder-master,test_resources.py,assert_used,175
personfinder-master,test_resources.py,assert_used,176
personfinder-master,test_resources.py,assert_used,178
personfinder-master,test_resources.py,assert_used,179
personfinder-master,test_resources.py,assert_used,183
personfinder-master,test_resources.py,assert_used,184
personfinder-master,test_resources.py,assert_used,185
personfinder-master,test_resources.py,assert_used,191
personfinder-master,test_resources.py,assert_used,192
personfinder-master,test_resources.py,assert_used,194
personfinder-master,test_resources.py,assert_used,195
personfinder-master,test_resources.py,assert_used,200
personfinder-master,test_resources.py,assert_used,201
personfinder-master,test_resources.py,assert_used,203
personfinder-master,test_resources.py,assert_used,204
personfinder-master,test_resources.py,assert_used,206
personfinder-master,test_resources.py,assert_used,215
personfinder-master,test_resources.py,assert_used,216
personfinder-master,test_resources.py,assert_used,218
personfinder-master,test_resources.py,assert_used,219
personfinder-master,test_resources.py,assert_used,223
personfinder-master,test_resources.py,assert_used,224
personfinder-master,test_resources.py,assert_used,226
personfinder-master,test_resources.py,assert_used,227
personfinder-master,test_resources.py,assert_used,231
personfinder-master,test_resources.py,assert_used,232
personfinder-master,test_resources.py,assert_used,242
personfinder-master,test_resources.py,assert_used,243
personfinder-master,test_resources.py,assert_used,245
personfinder-master,test_resources.py,assert_used,246
personfinder-master,test_resources.py,assert_used,250
personfinder-master,test_resources.py,assert_used,251
personfinder-master,test_resources.py,assert_used,253
personfinder-master,test_resources.py,assert_used,254
personfinder-master,test_resources.py,assert_used,258
personfinder-master,test_resources.py,assert_used,259
personfinder-master,test_resources.py,assert_used,261
personfinder-master,test_resources.py,assert_used,262
personfinder-master,test_resources.py,assert_used,270
personfinder-master,test_resources.py,assert_used,271
personfinder-master,test_resources.py,assert_used,273
personfinder-master,test_resources.py,assert_used,277
personfinder-master,test_resources.py,assert_used,278
personfinder-master,test_resources.py,assert_used,280
personfinder-master,test_resources.py,assert_used,281
personfinder-master,test_resources.py,assert_used,285
personfinder-master,test_resources.py,assert_used,286
personfinder-master,test_resources.py,assert_used,288
personfinder-master,test_resources.py,assert_used,291
personfinder-master,scrape.py,assert_used,39
personfinder-master,scrape.py,assert_used,50
personfinder-master,scrape.py,assert_used,57
personfinder-master,scrape.py,assert_used,139
personfinder-master,scrape.py,assert_used,145
personfinder-master,scrape.py,assert_used,149
personfinder-master,scrape.py,assert_used,151
personfinder-master,scrape.py,assert_used,158
personfinder-master,scrape.py,assert_used,159
personfinder-master,scrape.py,assert_used,161
personfinder-master,scrape.py,assert_used,162
personfinder-master,scrape.py,assert_used,164
personfinder-master,scrape.py,assert_used,165
personfinder-master,scrape.py,assert_used,172
personfinder-master,scrape.py,assert_used,173
personfinder-master,scrape.py,assert_used,175
personfinder-master,scrape.py,assert_used,176
personfinder-master,scrape.py,assert_used,178
personfinder-master,scrape.py,assert_used,179
personfinder-master,scrape.py,assert_used,183
personfinder-master,scrape.py,assert_used,184
personfinder-master,scrape.py,assert_used,185
personfinder-master,scrape.py,assert_used,191
personfinder-master,scrape.py,assert_used,192
personfinder-master,scrape.py,assert_used,194
personfinder-master,scrape.py,assert_used,195
personfinder-master,scrape.py,assert_used,200
personfinder-master,scrape.py,assert_used,201
personfinder-master,scrape.py,assert_used,203
personfinder-master,scrape.py,assert_used,204
personfinder-master,scrape.py,assert_used,206
personfinder-master,scrape.py,assert_used,215
personfinder-master,scrape.py,assert_used,216
personfinder-master,scrape.py,assert_used,218
personfinder-master,scrape.py,assert_used,219
personfinder-master,scrape.py,assert_used,223
personfinder-master,scrape.py,assert_used,224
personfinder-master,scrape.py,assert_used,226
personfinder-master,scrape.py,assert_used,227
personfinder-master,scrape.py,assert_used,231
personfinder-master,scrape.py,assert_used,232
personfinder-master,scrape.py,assert_used,242
personfinder-master,scrape.py,assert_used,243
personfinder-master,scrape.py,assert_used,245
personfinder-master,scrape.py,assert_used,246
personfinder-master,scrape.py,assert_used,250
personfinder-master,scrape.py,assert_used,251
personfinder-master,scrape.py,assert_used,253
personfinder-master,scrape.py,assert_used,254
personfinder-master,scrape.py,assert_used,258
personfinder-master,scrape.py,assert_used,259
personfinder-master,scrape.py,assert_used,261
personfinder-master,scrape.py,assert_used,262
personfinder-master,scrape.py,assert_used,270
personfinder-master,scrape.py,assert_used,271
personfinder-master,scrape.py,assert_used,273
personfinder-master,scrape.py,assert_used,277
personfinder-master,scrape.py,assert_used,278
personfinder-master,scrape.py,assert_used,280
personfinder-master,scrape.py,assert_used,281
personfinder-master,scrape.py,assert_used,285
personfinder-master,scrape.py,assert_used,286
personfinder-master,scrape.py,assert_used,288
personfinder-master,scrape.py,assert_used,291
personfinder-master,test_jp_mobile_carriers.py,assert_used,26
personfinder-master,test_jp_mobile_carriers.py,assert_used,28
personfinder-master,test_jp_mobile_carriers.py,assert_used,31
personfinder-master,test_jp_mobile_carriers.py,assert_used,33
personfinder-master,test_jp_mobile_carriers.py,assert_used,35
personfinder-master,test_jp_mobile_carriers.py,assert_used,38
personfinder-master,test_jp_mobile_carriers.py,assert_used,41
personfinder-master,test_jp_mobile_carriers.py,assert_used,43
personfinder-master,test_jp_mobile_carriers.py,assert_used,45
personfinder-master,test_jp_mobile_carriers.py,assert_used,47
personfinder-master,test_jp_mobile_carriers.py,assert_used,49
personfinder-master,test_jp_mobile_carriers.py,assert_used,51
personfinder-master,test_jp_mobile_carriers.py,assert_used,53
personfinder-master,test_jp_mobile_carriers.py,assert_used,55
personfinder-master,test_jp_mobile_carriers.py,assert_used,57
personfinder-master,test_jp_mobile_carriers.py,assert_used,81
personfinder-master,test_jp_mobile_carriers.py,assert_used,87
personfinder-master,test_jp_mobile_carriers.py,assert_used,91
personfinder-master,test_jp_mobile_carriers.py,assert_used,100
personfinder-master,test_jp_mobile_carriers.py,assert_used,110
personfinder-master,test_jp_mobile_carriers.py,assert_used,115
personfinder-master,test_jp_mobile_carriers.py,assert_used,124
personfinder-master,test_jp_mobile_carriers.py,assert_used,152
personfinder-master,test_jp_mobile_carriers.py,assert_used,153
personfinder-master,test_jp_mobile_carriers.py,assert_used,154
personfinder-master,test_jp_mobile_carriers.py,assert_used,155
personfinder-master,test_jp_mobile_carriers.py,assert_used,156
personfinder-master,test_detect_spam.py,assert_used,28
personfinder-master,test_detect_spam.py,assert_used,32
personfinder-master,test_detect_spam.py,assert_used,33
personfinder-master,test_detect_spam.py,assert_used,34
personfinder-master,test_detect_spam.py,assert_used,35
personfinder-master,server_tests_base.py,assert_used,242
personfinder-master,server_tests_base.py,assert_used,244
